course_id,userid_DI,registered,viewed,explored,certified,final_cc_cname_DI,LoE_DI,YoB,gender,start_time_DI,last_event_DI,nevents,ndays_act,nplay_video,nchapters,nforum_posts
HarvardX/CS50x/2012,MHxPC130545492,1,1,1,1,United States,Master's,1984.0,m,3/10/13,7/29/13,1161.0,50.0,,12.0,0
HarvardX/ER22x/2013_Spring,MHxPC130536944,1,1,1,1,United Kingdom,Master's,1985.0,f,3/13/13,8/1/13,1360.0,10.0,,29.0,0
HarvardX/CS50x/2012,MHxPC130442298,1,1,1,1,India,,,,8/2/12,7/25/13,77.0,18.0,,7.0,0
HarvardX/ER22x/2013_Spring,MHxPC130273564,1,1,1,1,United Kingdom,Bachelor's,1982.0,m,1/23/13,8/13/13,1425.0,29.0,,34.0,0
HarvardX/CS50x/2012,MHxPC130247761,1,1,0,0,United States,Secondary,1989.0,m,3/5/13,3/5/13,6.0,1.0,,1.0,0
HarvardX/CS50x/2012,MHxPC130328740,1,1,1,1,India,Bachelor's,1994.0,m,1/13/13,6/25/13,254.0,40.0,,12.0,0
HarvardX/PH207x/2012_Fall,MHxPC130080579,1,0,0,0,United States,Master's,1961.0,m,7/29/12,7/29/12,1.0,1.0,,,0
HarvardX/ER22x/2013_Spring,MHxPC130052555,1,1,1,1,United Kingdom,Secondary,1985.0,m,7/19/13,8/15/13,1781.0,18.0,,32.0,0
HarvardX/PH278x/2013_Spring,MHxPC130155757,1,0,0,0,Other Africa,Master's,1970.0,f,2/11/13,,,,,,0
HarvardX/PH278x/2013_Spring,MHxPC130317736,1,1,0,1,Mexico,Secondary,1994.0,m,3/3/13,6/30/13,1214.0,8.0,288.0,4.0,0
HarvardX/PH207x/2012_Fall,MHxPC130318907,1,1,0,0,Other South America,Master's,1975.0,m,10/22/12,10/22/12,22.0,1.0,3.0,2.0,0
HarvardX/ER22x/2013_Spring,MHxPC130114507,1,1,1,1,Germany,Secondary,1990.0,m,4/13/13,8/2/13,1317.0,12.0,,31.0,0
HarvardX/ER22x/2013_Spring,MHxPC130162896,1,1,1,1,India,Secondary,1993.0,m,4/5/13,8/17/13,1745.0,35.0,,22.0,0
HarvardX/CS50x/2012,MHxPC130226163,1,0,0,0,Unknown/Other,Bachelor's,1982.0,m,9/6/12,,,,,,0
HarvardX/PH278x/2013_Spring,MHxPC130472487,1,1,0,0,United States,Bachelor's,1984.0,f,5/10/13,5/18/13,22.0,3.0,,1.0,0
HarvardX/CS50x/2012,MHxPC130200197,1,0,0,0,Unknown/Other,Secondary,1993.0,m,11/29/12,,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130465375,1,1,1,1,Mexico,Master's,1982.0,m,10/9/12,1/20/13,5911.0,39.0,270.0,15.0,0
HarvardX/PH207x/2012_Fall,MHxPC130154925,1,0,0,0,India,Bachelor's,1983.0,m,10/15/12,10/15/12,1.0,1.0,,,0
HarvardX/CS50x/2012,MHxPC130054486,1,1,1,1,India,Bachelor's,1987.0,f,7/25/12,5/22/13,167.0,41.0,,12.0,0
HarvardX/CS50x/2012,MHxPC130060111,1,0,0,0,Unknown/Other,Bachelor's,1987.0,m,8/21/12,,,,,,0
HarvardX/CB22x/2013_Spring,MHxPC130582074,1,1,0,0,United States,Master's,1982.0,f,3/13/13,3/14/13,47.0,2.0,,2.0,0
HarvardX/CB22x/2013_Spring,MHxPC130530902,1,0,0,0,Greece,Bachelor's,1985.0,f,2/24/13,11/17/13,,,,,0
HarvardX/PH207x/2012_Fall,MHxPC130421311,1,0,0,0,Other Africa,,,,8/17/12,8/31/12,3.0,2.0,,,0
HarvardX/CB22x/2013_Spring,MHxPC130432231,1,0,0,0,Unknown/Other,Master's,1977.0,m,1/20/13,11/17/13,,,,,0
HarvardX/CS50x/2012,MHxPC130472186,1,0,0,0,United States,Master's,1945.0,m,11/23/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130346713,1,0,0,0,United States,Bachelor's,1988.0,f,5/15/13,5/16/13,2.0,1.0,,,0
HarvardX/CS50x/2012,MHxPC130094193,1,0,0,0,United Kingdom,Bachelor's,1987.0,m,3/3/13,3/5/13,4.0,2.0,,,0
HarvardX/CS50x/2012,MHxPC130062918,1,1,1,1,United Kingdom,,,,8/20/12,5/12/13,252.0,37.0,,11.0,0
HarvardX/PH207x/2012_Fall,MHxPC130255612,1,0,0,0,Other Europe,Bachelor's,1985.0,m,6/3/13,6/4/13,7.0,2.0,,,0
HarvardX/ER22x/2013_Spring,MHxPC130573693,1,1,0,0,Brazil,Secondary,1993.0,m,3/14/13,4/9/13,231.0,4.0,,3.0,0
HarvardX/ER22x/2013_Spring,MHxPC130237509,1,1,0,0,United States,Bachelor's,1986.0,m,3/4/13,3/15/13,68.0,1.0,,2.0,0
HarvardX/PH207x/2012_Fall,MHxPC130272824,1,1,1,1,Nigeria,Bachelor's,1982.0,f,10/21/12,8/27/13,10449.0,58.0,148.0,16.0,0
HarvardX/CS50x/2012,MHxPC130029970,1,1,1,1,Australia,Bachelor's,1971.0,m,9/15/12,5/19/13,138.0,14.0,,10.0,0
HarvardX/PH207x/2012_Fall,MHxPC130073639,1,1,1,1,India,Bachelor's,1991.0,f,10/22/12,1/1/13,1932.0,21.0,27.0,12.0,0
HarvardX/ER22x/2013_Spring,MHxPC130150024,1,1,1,1,United States,Bachelor's,1988.0,f,1/29/13,7/13/13,1553.0,28.0,,33.0,0
HarvardX/ER22x/2013_Spring,MHxPC130196842,1,0,0,0,United States,Bachelor's,1986.0,m,4/15/13,4/15/13,3.0,1.0,,,0
HarvardX/CS50x/2012,MHxPC130121606,1,1,0,0,United States,Secondary,1987.0,m,3/3/13,3/7/13,8.0,2.0,,1.0,0
HarvardX/CS50x/2012,MHxPC130178663,1,1,1,0,United States,Bachelor's,1970.0,m,2/27/13,6/24/13,613.0,66.0,,12.0,0
HarvardX/CS50x/2012,MHxPC130087490,1,1,0,0,United States,Secondary,1997.0,m,5/23/13,7/10/13,55.0,5.0,,5.0,0
HarvardX/CS50x/2012,MHxPC130388781,1,0,0,0,Unknown/Other,Doctorate,1983.0,m,8/15/12,,,,,,0
HarvardX/CS50x/2012,MHxPC130393123,1,0,0,0,India,Bachelor's,1989.0,m,9/17/12,,,,,,0
HarvardX/CS50x/2012,MHxPC130544278,1,1,0,0,India,Secondary,1995.0,m,8/8/13,8/9/13,23.0,6.0,,3.0,0
HarvardX/PH278x/2013_Spring,MHxPC130134256,1,1,1,1,Other South Asia,Master's,1984.0,m,3/30/13,8/12/13,2462.0,39.0,953.0,7.0,0
HarvardX/CS50x/2012,MHxPC130399662,1,0,0,0,United States,,,m,8/12/12,,,,,,0
HarvardX/CB22x/2013_Spring,MHxPC130519375,1,1,0,0,India,Bachelor's,1987.0,m,2/24/13,4/9/13,22.0,3.0,,2.0,0
HarvardX/PH207x/2012_Fall,MHxPC130435146,1,1,0,0,Mexico,Master's,1982.0,m,10/29/12,10/29/12,47.0,1.0,3.0,2.0,0
HarvardX/CB22x/2013_Spring,MHxPC130220036,1,0,0,0,United States,,1982.0,f,1/22/13,11/17/13,,,,,0
HarvardX/CS50x/2012,MHxPC130035123,1,0,0,0,Brazil,Bachelor's,1984.0,m,8/27/12,,,,,,0
HarvardX/ER22x/2013_Spring,MHxPC130489653,1,1,0,1,India,Master's,1989.0,f,6/1/13,7/24/13,342.0,2.0,,8.0,0
